__________________________________________________________________________________

Uk³ad M/M/1/RNT
Œrednia liczba zg³oszeñ na jednostkê czasu : 	   1.000
Œrednia wydajnoœæ stanowiska obs³ugi : 		   2.000
Pojedynczy kwant czasu : 			1000.000


    t		n	k	s
 279.558	2	1	1
 279.931	1	0	1
 280.305	0	0	0
 280.515	1	0	1
 280.858	0	0	0
 281.377	1	0	1
 281.481	2	1	1
 281.549	1	0	1
 281.865	0	0	0
 282.699	1	0	1
 282.968	0	0	0
 283.740	1	0	1
 284.499	0	0	0
 287.695	1	0	1
 287.844	2	1	1
 288.311	3	2	1
 289.421	2	1	1
 289.623	3	2	1
 289.736	4	3	1
 289.929	3	2	1
 290.440	2	1	1
 290.619	1	0	1
 290.865	2	1	1
 291.136	1	0	1
 291.144	2	1	1
 291.317	1	0	1
 291.755	0	0	0
 293.900	1	0	1
 293.969	2	1	1
 294.422	1	0	1
 294.591	0	0	0
 295.487	1	0	1
 295.754	0	0	0
 295.889	1	0	1
 296.137	0	0	0
 296.315	1	0	1
 296.579	2	1	1
 297.393	1	0	1
 297.490	0	0	0
 298.423	1	0	1
 298.471	0	0	0
 299.470	1	0	1
 300.780	0	0	0
 301.381	1	0	1
 301.388	2	1	1
 301.663	1	0	1
 302.546	0	0	0
 304.635	1	0	1
 305.281	0	0	0
 306.386	1	0	1
 306.479	0	0	0
 307.371	1	0	1
 308.417	0	0	0
 308.938	1	0	1
 308.960	2	1	1
 309.159	1	0	1
 309.164	0	0	0
 311.432	1	0	1
 311.450	0	0	0
 311.783	1	0	1
 311.925	2	1	1
 312.440	1	0	1
 312.521	2	1	1
 312.598	1	0	1
 313.009	2	1	1
 313.808	1	0	1
 314.335	0	0	0
 314.567	1	0	1
 314.627	0	0	0
 314.629	1	0	1
 315.253	0	0	0
 315.698	1	0	1
 316.064	2	1	1
 316.130	1	0	1
 316.162	0	0	0
 318.209	1	0	1
 318.450	0	0	0
 319.171	1	0	1
 319.239	0	0	0
 319.372	1	0	1
 319.475	0	0	0
 320.621	1	0	1
 320.848	0	0	0
 321.175	1	0	1
 321.769	0	0	0
 322.015	1	0	1
 322.256	0	0	0
 322.725	1	0	1
 322.908	2	1	1
 323.203	3	2	1
 323.368	2	1	1
 323.545	1	0	1
 323.560	2	1	1
 323.907	1	0	1
 324.090	0	0	0
 324.417	1	0	1
 325.026	0	0	0
 325.104	1	0	1
 325.248	0	0	0
 326.749	1	0	1
 326.774	0	0	0
 329.161	1	0	1
 329.740	0	0	0
 332.867	1	0	1
 333.775	0	0	0
 334.190	1	0	1
 334.694	2	1	1
 334.839	1	0	1
 335.320	0	0	0
 335.358	1	0	1
 335.926	0	0	0
 337.180	1	0	1
 337.437	2	1	1
 337.656	1	0	1
 337.663	2	1	1
 337.784	1	0	1
 338.481	2	1	1
 338.999	3	2	1
 339.963	2	1	1
 340.540	1	0	1
 341.468	0	0	0
 342.032	1	0	1
 342.475	0	0	0
 344.766	1	0	1
 345.225	0	0	0
 346.213	1	0	1
 346.546	2	1	1
 346.550	3	2	1
 346.718	2	1	1
 346.756	3	2	1
 346.786	2	1	1
 347.471	1	0	1
 347.883	2	1	1
 348.232	1	0	1
 348.397	2	1	1
 348.731	3	2	1
 348.909	2	1	1
 349.059	1	0	1
 349.365	2	1	1
 350.480	1	0	1
 351.118	2	1	1
 351.447	1	0	1
 351.980	0	0	0
 352.141	1	0	1
 352.573	0	0	0
 352.582	1	0	1
 352.808	0	0	0
 355.654	1	0	1
 355.774	0	0	0
 358.293	1	0	1
 358.340	0	0	0
 358.455	1	0	1
 358.601	0	0	0
 359.194	1	0	1
 359.324	0	0	0
 361.255	1	0	1
 361.448	0	0	0
 361.567	1	0	1
 362.027	2	1	1
 362.076	3	2	1
 362.556	2	1	1
 362.897	1	0	1
 363.074	0	0	0
 363.079	1	0	1
 363.433	2	1	1
 363.598	1	0	1
 363.841	0	0	0
 364.683	1	0	1
 365.314	0	0	0
 365.613	1	0	1
 366.513	0	0	0
 366.542	1	0	1
 366.936	0	0	0
 367.068	1	0	1
 367.512	0	0	0
 370.538	1	0	1
 371.052	0	0	0
 372.750	1	0	1
 373.662	2	1	1
 375.239	1	0	1
 375.278	0	0	0
 375.903	1	0	1
 376.068	0	0	0
 376.344	1	0	1
 376.537	0	0	0
 376.901	1	0	1
 376.931	2	1	1
 377.037	3	2	1
 377.390	4	3	1
 377.428	3	2	1
 378.111	2	1	1
 378.214	3	2	1
 379.564	2	1	1
 379.621	1	0	1
 379.725	2	1	1
 380.191	1	0	1
 380.306	0	0	0
 381.172	1	0	1
 383.112	2	1	1
 383.140	1	0	1
 383.565	0	0	0
 384.154	1	0	1
 384.669	0	0	0
 385.444	1	0	1
 386.225	2	1	1
 386.474	1	0	1
 386.706	0	0	0
 388.327	1	0	1
 388.540	0	0	0
 388.857	1	0	1
 390.283	0	0	0
 392.619	1	0	1
 392.966	0	0	0
 393.873	1	0	1
 394.689	0	0	0
 395.532	1	0	1
 396.245	2	1	1
 396.657	1	0	1
 396.913	0	0	0
 397.813	1	0	1
 397.912	2	1	1
 398.150	3	2	1
 398.375	2	1	1
 398.474	3	2	1
 398.492	2	1	1
 398.637	1	0	1
 398.666	2	1	1
 398.784	3	2	1
 398.798	2	1	1
 398.946	1	0	1
 399.642	0	0	0
 401.801	1	0	1
 402.355	0	0	0
 402.856	1	0	1
 403.046	2	1	1
 403.137	3	2	1
 403.233	4	3	1
 403.481	3	2	1
 403.588	4	3	1
 404.190	3	2	1
 404.338	2	1	1
 404.460	1	0	1
 404.983	0	0	0
 405.494	1	0	1
 406.028	0	0	0
 406.698	1	0	1
 406.730	0	0	0
 407.320	1	0	1
 407.509	0	0	0
 409.787	1	0	1
 409.854	0	0	0
 413.042	1	0	1
 413.565	0	0	0
 414.049	1	0	1
 414.251	0	0	0
 416.567	1	0	1
 416.677	0	0	0
 417.858	1	0	1
 417.895	0	0	0
 418.205	1	0	1
 418.746	2	1	1
 419.088	3	2	1
 419.109	2	1	1
 419.263	3	2	1
 419.868	2	1	1
 420.073	1	0	1
 420.421	0	0	0
 420.518	1	0	1
 421.114	2	1	1
 421.123	3	2	1
 421.489	2	1	1
 422.434	1	0	1
 422.437	2	1	1
 423.167	1	0	1
 423.253	0	0	0
 424.801	1	0	1
 425.030	2	1	1
 425.620	3	2	1
 425.704	4	3	1
 426.249	3	2	1
 426.441	2	1	1
 426.695	1	0	1
 427.138	0	0	0
 427.162	1	0	1
 428.211	2	1	1
 428.548	1	0	1
 428.769	0	0	0
 430.572	1	0	1
 430.682	0	0	0
 430.833	1	0	1
 431.393	0	0	0
 431.586	1	0	1
 431.704	0	0	0
 433.275	1	0	1
 433.281	0	0	0
 433.682	1	0	1
 433.692	2	1	1
 433.923	1	0	1
 434.350	0	0	0
 434.470	1	0	1
 434.876	0	0	0
 435.337	1	0	1
 435.403	0	0	0
 436.532	1	0	1
 436.876	0	0	0
 437.681	1	0	1
 437.746	0	0	0
 439.055	1	0	1
 440.053	2	1	1
 440.110	3	2	1
 441.467	4	3	1
 442.642	3	2	1
 443.233	2	1	1
 443.421	3	2	1
 443.534	2	1	1
 444.070	1	0	1
 444.378	2	1	1
 444.466	1	0	1
 444.771	2	1	1
 445.040	1	0	1
 445.379	0	0	0
 447.235	1	0	1
 447.405	0	0	0
 447.458	1	0	1
 448.107	2	1	1
 448.523	1	0	1
 448.664	0	0	0
 449.384	1	0	1
 449.442	0	0	0
 449.795	1	0	1
 450.093	2	1	1
 450.259	1	0	1
 452.220	0	0	0
 454.046	1	0	1
 454.307	0	0	0
 456.325	1	0	1
 457.395	0	0	0
 458.913	1	0	1
 459.747	0	0	0
 461.237	1	0	1
 461.796	2	1	1
 461.821	1	0	1
 461.915	0	0	0
 463.245	1	0	1
 463.399	0	0	0
 465.962	1	0	1
 466.151	0	0	0
 466.326	1	0	1
